Year,Month,Day,Period,SOLAR_SYSTEM
2018,1,16,1,0.0
2018,1,16,2,0.0
2018,1,16,3,0.0
2018,1,16,4,0.0
2018,1,16,5,0.0
2018,1,16,6,0.0
2018,1,16,7,0.0
2018,1,16,8,0.0
2018,1,16,9,0.0
2018,1,16,10,0.0
2018,1,16,11,0.0
2018,1,16,12,0.0
2018,1,16,13,0.0
2018,1,16,14,0.0
2018,1,16,15,45.32966940663755
2018,1,16,16,180.0830126553774
2018,1,16,17,228.9604370892048
2018,1,16,18,240.5726352483034
2018,1,16,19,266.60059598088264
2018,1,16,20,262.239817738533
2018,1,16,21,253.6704299747944
2018,1,16,22,293.98125071823597
2018,1,16,23,211.66895712167025
2018,1,16,24,48.751310660503805
2018,1,17,1,0.0
2018,1,17,2,0.0
2018,1,17,3,0.0
2018,1,17,4,0.0
2018,1,17,5,0.0
2018,1,17,6,0.0
2018,1,17,7,0.0
2018,1,17,8,0.0
2018,1,17,9,0.0
2018,1,17,10,0.0
2018,1,17,11,0.0
2018,1,17,12,0.0
2018,1,17,13,0.0
2018,1,17,14,0.0
2018,1,17,15,297.85941955447197
2018,1,17,16,536.1272344589233
2018,1,17,17,579.5418596863747
2018,1,17,18,562.396580696106
2018,1,17,19,537.8919770121574
2018,1,17,20,546.0389747619629
2018,1,17,21,563.2216644883156
2018,1,17,22,568.5282695889473
2018,1,17,23,432.3745411038399
2018,1,17,24,63.48458430171013
2018,1,18,1,0.0
2018,1,18,2,0.0
2018,1,18,3,0.0
2018,1,18,4,0.0
2018,1,18,5,0.0
2018,1,18,6,0.0
2018,1,18,7,0.0
2018,1,18,8,0.0
2018,1,18,9,0.0
2018,1,18,10,0.0
2018,1,18,11,0.0
2018,1,18,12,0.0
2018,1,18,13,0.0
2018,1,18,14,0.0
2018,1,18,15,238.30975857377052
2018,1,18,16,357.17872181534767
2018,1,18,17,418.63891726732254
2018,1,18,18,426.3805083036423
2018,1,18,19,397.09234619140625
2018,1,18,20,397.17842468619347
2018,1,18,21,392.5122113376856
2018,1,18,22,401.59635162353516
2018,1,18,23,300.7120322883129
2018,1,18,24,58.68791400641203
2018,1,19,1,0.0
2018,1,19,2,0.0
2018,1,19,3,0.0
2018,1,19,4,0.0
2018,1,19,5,0.0
2018,1,19,6,0.0
2018,1,19,7,0.0
2018,1,19,8,0.0
2018,1,19,9,0.0
2018,1,19,10,0.0
2018,1,19,11,0.0
2018,1,19,12,0.0
2018,1,19,13,0.0
2018,1,19,14,0.0
2018,1,19,15,102.94490635022521
2018,1,19,16,263.4973244294524
2018,1,19,17,316.2319108992815
2018,1,19,18,327.94500182569027
2018,1,19,19,361.6797141581774
2018,1,19,20,360.6112070828676
2018,1,19,21,357.52079002559185
2018,1,19,22,335.7144450619817
2018,1,19,23,254.50205104798079
2018,1,19,24,61.20252066012472
2018,1,20,1,0.0
2018,1,20,2,0.0
2018,1,20,3,0.0
2018,1,20,4,0.0
2018,1,20,5,0.0
2018,1,20,6,0.0
2018,1,20,7,0.0
2018,1,20,8,0.0
2018,1,20,9,0.0
2018,1,20,10,0.0
2018,1,20,11,0.0
2018,1,20,12,0.0
2018,1,20,13,0.0
2018,1,20,14,0.0
2018,1,20,15,145.27895733714104
2018,1,20,16,293.93349319696426
2018,1,20,17,350.04461646080017
2018,1,20,18,356.2867262363434
2018,1,20,19,369.2061478495598
2018,1,20,20,366.2518773674965
2018,1,20,21,365.2209389805794
2018,1,20,22,391.9076324701309
2018,1,20,23,299.3551155924797
2018,1,20,24,70.10241152346134
2018,1,21,1,0.0
2018,1,21,2,0.0
2018,1,21,3,0.0
2018,1,21,4,0.0
2018,1,21,5,0.0
2018,1,21,6,0.0
2018,1,21,7,0.0
2018,1,21,8,0.0
2018,1,21,9,0.0
2018,1,21,10,0.0
2018,1,21,11,0.0
2018,1,21,12,0.0
2018,1,21,13,0.0
2018,1,21,14,0.0
2018,1,21,15,148.34563782066107
2018,1,21,16,304.3331844396889
2018,1,21,17,353.63056284189224
2018,1,21,18,358.31932443380356
2018,1,21,19,353.44827903807163
2018,1,21,20,353.65774999558926
2018,1,21,21,352.10120448470116
2018,1,21,22,379.68563309311867
2018,1,21,23,284.0176723152399
2018,1,21,24,67.59862854704261
2018,1,22,1,0.0
2018,1,22,2,0.0
2018,1,22,3,0.0
2018,1,22,4,0.0
2018,1,22,5,0.0
2018,1,22,6,0.0
2018,1,22,7,0.0
2018,1,22,8,0.0
2018,1,22,9,0.0
2018,1,22,10,0.0
2018,1,22,11,0.0
2018,1,22,12,0.0
2018,1,22,13,0.0
2018,1,22,14,0.0
2018,1,22,15,273.8496460914612
2018,1,22,16,527.3839401006699
2018,1,22,17,569.9382801651955
2018,1,22,18,555.0801856517792
2018,1,22,19,540.4039775133133
2018,1,22,20,548.6370919346809
2018,1,22,21,568.63555341959
2018,1,22,22,575.0778810977936
2018,1,22,23,457.7937545776367
2018,1,22,24,85.42965887486935
2018,1,23,1,0.0
2018,1,23,2,0.0
2018,1,23,3,0.0
2018,1,23,4,0.0
2018,1,23,5,0.0
2018,1,23,6,0.0
2018,1,23,7,0.0
2018,1,23,8,0.0
2018,1,23,9,0.0
2018,1,23,10,0.0
2018,1,23,11,0.0
2018,1,23,12,0.0
2018,1,23,13,0.0
2018,1,23,14,0.0
2018,1,23,15,273.154559135437
2018,1,23,16,502.8192641735077
2018,1,23,17,547.1576048135757
2018,1,23,18,534.7358686923981
2018,1,23,19,516.7732766866684
2018,1,23,20,524.75811201334
2018,1,23,21,541.0893755555153
2018,1,23,22,539.4294530153275
2018,1,23,23,426.1043549776077
2018,1,23,24,89.1424081325531
