Year,Month,Day,Period,SOLAR_SYSTEM
2018,1,14,19,504.03892512500005
2018,1,14,20,512.9771026249999
2018,1,14,21,536.5188615833333
2018,1,14,22,529.5563429166665
2018,1,14,23,409.93599941666673
2018,1,14,24,106.74804241666662
2018,1,15,1,0.142875
2018,1,15,2,0.0
2018,1,15,3,0.0
2018,1,15,4,0.0
2018,1,15,5,0.0
2018,1,15,6,0.0
2018,1,15,7,0.0
2018,1,15,8,0.0
2018,1,15,9,0.0
2018,1,15,10,0.0
2018,1,15,11,0.0
2018,1,15,12,0.0
2018,1,15,13,0.0
2018,1,15,14,23.19905533333333
2018,1,15,15,245.0588664583333
2018,1,15,16,452.06404683333335
2018,1,15,17,494.6568929999999
2018,1,15,18,449.38315204166673
2018,1,15,19,456.19876433333343
2018,1,15,20,428.4048634166666
2018,1,15,21,401.76216345833336
2018,1,15,22,404.95477225000013
2018,1,15,23,294.45703933333334
2018,1,15,24,80.81850995833334
2018,1,16,1,0.18787500000000001
2018,1,16,2,0.0
2018,1,16,3,0.0
2018,1,16,4,0.0
2018,1,16,5,0.0
2018,1,16,6,0.0
2018,1,16,7,0.0
2018,1,16,8,0.0
2018,1,16,9,0.0
2018,1,16,10,0.0
2018,1,16,11,0.0
2018,1,16,12,0.0
2018,1,16,13,0.0
2018,1,16,14,1.3421788333333335
2018,1,16,15,72.960433875
2018,1,16,16,62.11324095833332
2018,1,16,17,101.65162687500002
2018,1,16,18,191.04626524999998
2018,1,16,19,296.99174087499995
2018,1,16,20,299.09404520833334
2018,1,16,21,307.5877470000001
2018,1,16,22,294.3766833333333
2018,1,16,23,241.6895020416667
2018,1,16,24,75.14019883333333
2018,1,17,1,0.0022500000000000003
2018,1,17,2,0.0
2018,1,17,3,0.0
2018,1,17,4,0.0
2018,1,17,5,0.0
2018,1,17,6,0.0
2018,1,17,7,0.0
2018,1,17,8,0.0
2018,1,17,9,0.0
2018,1,17,10,0.0
2018,1,17,11,0.0
2018,1,17,12,0.0
2018,1,17,13,0.0
2018,1,17,14,25.909208125
2018,1,17,15,264.48433129166665
2018,1,17,16,326.5598533333334
2018,1,17,17,390.992024125
2018,1,17,18,492.9844568750002
2018,1,17,19,508.42362012500007
2018,1,17,20,503.76166487500006
2018,1,17,21,524.3802344583333
2018,1,17,22,386.54694562500003
2018,1,17,23,228.64455800000002
2018,1,17,24,59.208485083333336
2018,1,18,1,0.04585500000000001
2018,1,18,2,0.0
2018,1,18,3,0.0
2018,1,18,4,0.0
2018,1,18,5,0.0
2018,1,18,6,0.0
2018,1,18,7,0.0
2018,1,18,8,0.0
2018,1,18,9,0.0
2018,1,18,10,0.0
2018,1,18,11,0.0
2018,1,18,12,0.0
2018,1,18,13,0.0
2018,1,18,14,11.075786583333333
2018,1,18,15,164.7561085
2018,1,18,16,331.15277687500003
2018,1,18,17,372.160567875
2018,1,18,18,365.66831062500006
2018,1,18,19,367.882496125
2018,1,18,20,369.33553408333336
2018,1,18,21,371.49000425000014
2018,1,18,22,389.680871875
2018,1,18,23,291.60608187500003
2018,1,18,24,88.02227950000001
2018,1,19,1,0.27426375000000003
2018,1,19,2,0.0
2018,1,19,3,0.0
2018,1,19,4,0.0
2018,1,19,5,0.0
2018,1,19,6,0.0
2018,1,19,7,0.0
2018,1,19,8,0.0
2018,1,19,9,0.0
2018,1,19,10,0.0
2018,1,19,11,0.0
2018,1,19,12,0.0
2018,1,19,13,0.0
2018,1,19,14,12.687537416666666
2018,1,19,15,122.33626258333334
2018,1,19,16,244.91284129166672
2018,1,19,17,330.9511555833334
2018,1,19,18,351.7218452500001
2018,1,19,19,305.8331089583333
2018,1,19,20,322.11861387500005
2018,1,19,21,354.84362916666663
2018,1,19,22,359.7642760000001
2018,1,19,23,286.17725979166664
2018,1,19,24,66.8403045
2018,1,20,1,0.33815249999999997
2018,1,20,2,0.0
