Year,Month,Day,Period,COPPER_SHEET
2018,1,13,22,35028.88
2018,1,13,23,37249.74
2018,1,13,24,37701.19
2018,1,14,1,40383.598
2018,1,14,2,42426.586
2018,1,14,3,42634.555
2018,1,14,4,41187.035
2018,1,14,5,39659.113
2018,1,14,6,39256.1
2018,1,14,7,34817.75
2018,1,14,8,35445.34
2018,1,14,9,35308.977
2018,1,14,10,39851.348
2018,1,14,11,39723.715
2018,1,14,12,42427.266
2018,1,14,13,45255.17
2018,1,14,14,45304.273
2018,1,14,15,46588.5
2018,1,14,16,44040.93
2018,1,14,17,43634.266
2018,1,14,18,40741.81
2018,1,14,19,38805.35
2018,1,14,20,38287.69
2018,1,14,21,36474.07
2018,1,14,22,37218.23
2018,1,14,23,39299.73
2018,1,14,24,39785.938
2018,1,15,1,43534.375
2018,1,15,2,43726.42
2018,1,15,3,43816.28
2018,1,15,4,42821.305
2018,1,15,5,41755.332
2018,1,15,6,40161.703
2018,1,15,7,37302.79
2018,1,15,8,38071.2
2018,1,15,9,38230.797
2018,1,15,10,39254.145
2018,1,15,11,40486.414
2018,1,15,12,42302.145
2018,1,15,13,44505.043
2018,1,15,14,43487.438
2018,1,15,15,42887.965
2018,1,15,16,42200.547
2018,1,15,17,41954.188
2018,1,15,18,37816.17
2018,1,15,19,37730.52
2018,1,15,20,40372.266
2018,1,15,21,40309.375
2018,1,15,22,39967.984
2018,1,15,23,41116.414
2018,1,15,24,42726.426
2018,1,16,1,40532.465
2018,1,16,2,45601.773
2018,1,16,3,41675.242
2018,1,16,4,46160.82
2018,1,16,5,45310.9
2018,1,16,6,47051.72
2018,1,16,7,36301.617
2018,1,16,8,35742.12
2018,1,16,9,36909.887
2018,1,16,10,38707.953
2018,1,16,11,42658.555
2018,1,16,12,47702.082
2018,1,16,13,45967.637
2018,1,16,14,46368.656
2018,1,16,15,48507.62
2018,1,16,16,48898.055
2018,1,16,17,48612.023
2018,1,16,18,47941.414
2018,1,16,19,43012.6
2018,1,16,20,41323.043
2018,1,16,21,40689.297
2018,1,16,22,39849.234
2018,1,16,23,41642.21
2018,1,16,24,43591.31
2018,1,17,1,44744.07
2018,1,17,2,45501.953
2018,1,17,3,45351.957
2018,1,17,4,45012.484
2018,1,17,5,44505.777
2018,1,17,6,42851.496
2018,1,17,7,44053.19
2018,1,17,8,43610.867
2018,1,17,9,44940.633
2018,1,17,10,46188.03
2018,1,17,11,49136.56
2018,1,17,12,49921.18
2018,1,17,13,51808.56
2018,1,17,14,53610.547
2018,1,17,15,54089.004
2018,1,17,16,53919.35
2018,1,17,17,53079.875
2018,1,17,18,52548.285
2018,1,17,19,51047.773
2018,1,17,20,49646.582
2018,1,17,21,48666.613
2018,1,17,22,49873.562
2018,1,17,23,48662.55
2018,1,17,24,49224.957
2018,1,18,1,50888.74
2018,1,18,2,51409.035
2018,1,18,3,51966.582
2018,1,18,4,49685.246
2018,1,18,5,49226.324
2018,1,18,6,48072.258
2018,1,18,7,48376.234
2018,1,18,8,46043.125
2018,1,18,9,47706.49
2018,1,18,10,48401.895
2018,1,18,11,50651.27
2018,1,18,12,51990.63
2018,1,18,13,53085.594
2018,1,18,14,53001.2
2018,1,18,15,54066.586
2018,1,18,16,50936.66
2018,1,18,17,48699.465
2018,1,18,18,45672.535
2018,1,18,19,43768.098
2018,1,18,20,43356.92
2018,1,18,21,46915.383
2018,1,18,22,43181.227
2018,1,18,23,43684.277
2018,1,18,24,44388.19
2018,1,19,1,46992.336
2018,1,19,2,45853.99
2018,1,19,3,45271.94
2018,1,19,4,44439.164
2018,1,19,5,43301.906
2018,1,19,6,41445.47
2018,1,19,7,46109.242
2018,1,19,8,45537.49
2018,1,19,9,42084.543
2018,1,19,10,43051.33
2018,1,19,11,49003.418
2018,1,19,12,48505.68
2018,1,19,13,49012.277
2018,1,19,14,46665.215
2018,1,19,15,47167.777
2018,1,19,16,45693.555
2018,1,19,17,45273.676
2018,1,19,18,42421.16
2018,1,19,19,41400.492
2018,1,19,20,39462.52
2018,1,19,21,41464.023
2018,1,19,22,41066.438
2018,1,19,23,41888.555
2018,1,19,24,41019.523
2018,1,20,1,43475.79
2018,1,20,2,43206.277
2018,1,20,3,40871.805
2018,1,20,4,39590.336
2018,1,20,5,37930.82
2018,1,20,6,35691.8
2018,1,20,7,38203.543
2018,1,20,8,38723.617
2018,1,20,9,38299.098
2018,1,20,10,38681.19
2018,1,20,11,39979.367
2018,1,20,12,41111.133
2018,1,20,13,41468.613
2018,1,20,14,41944.918
2018,1,20,15,42235.734
2018,1,20,16,41029.76
2018,1,20,17,39899.63
2018,1,20,18,38416.566
2018,1,20,19,37726.32
2018,1,20,20,36820.848
2018,1,20,21,36515.016
2018,1,20,22,37337.953
2018,1,20,23,37665.625
2018,1,20,24,38167.992
2018,1,21,1,38576.918
2018,1,21,2,38504.566
2018,1,21,3,37257.14
2018,1,21,4,36140.445
2018,1,21,5,34515.707
2018,1,21,6,32853.043
2018,1,21,7,27627.627
2018,1,21,8,27574.637
2018,1,21,9,27819.396
2018,1,21,10,29877.52
2018,1,21,11,31051.791
2018,1,21,12,34112.312
2018,1,21,13,35855.664
2018,1,21,14,36222.79
2018,1,21,15,37013.64
2018,1,21,16,36608.71
2018,1,21,17,36261.645
2018,1,21,18,35591.91
2018,1,21,19,35406.676
2018,1,21,20,35362.56
2018,1,21,21,35030.33
2018,1,21,22,35837.508
2018,1,21,23,36214.777
2018,1,21,24,36676.8
2018,1,22,1,35777.707
2018,1,22,2,35411.203
2018,1,22,3,34066.605
2018,1,22,4,31053.771
2018,1,22,5,32142.367
2018,1,22,6,30407.488
2018,1,22,7,28614.775
2018,1,22,8,28602.973
2018,1,22,9,28628.047
2018,1,22,10,30390.193
2018,1,22,11,31670.184
2018,1,22,12,33834.984
2018,1,22,13,35438.797
2018,1,22,14,37111.12
2018,1,22,15,38280.316
2018,1,22,16,37987.44
2018,1,22,17,37046.625
2018,1,22,18,36502.434
2018,1,22,19,34774.363
2018,1,22,20,33728.26
2018,1,22,21,34251.39
2018,1,22,22,34318.25
2018,1,22,23,34837.824
2018,1,22,24,35196.86
2018,1,23,1,35054.746
2018,1,23,2,34871.42
2018,1,23,3,33354.055
2018,1,23,4,32125.947
2018,1,23,5,31742.838
2018,1,23,6,32456.625
2018,1,23,7,32232.205
2018,1,23,8,33412.457
2018,1,23,9,35153.17
2018,1,23,10,36817.66
2018,1,23,11,39146.48
2018,1,23,12,40252.113
2018,1,23,13,41118.453
2018,1,23,14,41761.438
2018,1,23,15,41906.156
2018,1,23,16,40013.008
2018,1,23,17,36877.52
2018,1,23,18,34949.01
2018,1,23,19,34372.375
2018,1,23,20,34272.527
2018,1,23,21,34791.44
2018,1,23,22,34817.22
2018,1,23,23,35594.52
2018,1,23,24,36118.402
2018,1,24,1,36163.023
2018,1,24,2,36460.477
2018,1,24,3,36315.117
2018,1,24,4,34858.3
2018,1,24,5,33278.85
2018,1,24,6,32376.395
2018,1,24,7,35591.145
2018,1,24,8,34804.82
2018,1,24,9,35189.156
2018,1,24,10,38014.473
2018,1,24,11,39687.496
2018,1,24,12,41345.35
2018,1,24,13,42043.24
2018,1,24,14,42591.832
2018,1,24,15,43294.062
2018,1,24,16,41452.02
2018,1,24,17,38836.42
2018,1,24,18,36417.402
2018,1,24,19,34465.363
2018,1,24,20,33399.727
2018,1,24,21,34538.297
2018,1,24,22,33977.426
2018,1,24,23,35149.406
2018,1,24,24,37298.14
2018,1,25,1,38699.918
2018,1,25,2,38605.81
2018,1,25,3,37746.766
2018,1,25,4,36473.023
2018,1,25,5,35671.465
2018,1,25,6,34207.555
2018,1,25,7,33188.965
2018,1,25,8,33230.24
2018,1,25,9,33555.223
2018,1,25,10,35425.82
2018,1,25,11,35543.26
2018,1,25,12,37495.453
2018,1,25,13,39249.043
2018,1,25,14,40593.02
2018,1,25,15,41061.406
2018,1,25,16,39052.45
2018,1,25,17,37845.46
2018,1,25,18,36299.523
2018,1,25,19,35131.363
2018,1,25,20,34288.99
2018,1,25,21,34092.477
2018,1,25,22,34078.086
2018,1,25,23,35482.547
2018,1,25,24,37242.59
2018,1,26,1,38576.355
2018,1,26,2,37706.85
2018,1,26,3,37800.72
2018,1,26,4,36937.34
2018,1,26,5,33992.7
2018,1,26,6,32171.611
2018,1,26,7,31813.686
2018,1,26,8,31779.064
2018,1,26,9,32651.145
2018,1,26,10,34584.254
2018,1,26,11,35591.664
2018,1,26,12,38198.18
2018,1,26,13,39158.68
