Year,Month,Day,Period,COPPER_SHEET
2018,1,12,21,41059.195
2018,1,12,22,41531.93
2018,1,12,23,44293.145
2018,1,12,24,46284.3
2018,1,13,1,46813.812
2018,1,13,2,46925.547
2018,1,13,3,46416.574
2018,1,13,4,45420.266
2018,1,13,5,44427.387
2018,1,13,6,43891.094
2018,1,13,7,43876.926
2018,1,13,8,44269.176
2018,1,13,9,44908.027
2018,1,13,10,46137.09
2018,1,13,11,47920.12
2018,1,13,12,50151.88
2018,1,13,13,51486.527
2018,1,13,14,51330.754
2018,1,13,15,49964.926
2018,1,13,16,47701.887
2018,1,13,17,45178.23
2018,1,13,18,42666.617
2018,1,13,19,40361.67
2018,1,13,20,38780.113
2018,1,13,21,37997.76
2018,1,13,22,38491.96
2018,1,13,23,41411.582
2018,1,13,24,43966.39
2018,1,14,1,44927.496
2018,1,14,2,45495.77
2018,1,14,3,45332.453
2018,1,14,4,44665.84
2018,1,14,5,43884.723
2018,1,14,6,43338.305
2018,1,14,7,43202.453
2018,1,14,8,43427.83
2018,1,14,9,43899.062
2018,1,14,10,44789.277
2018,1,14,11,46235.246
2018,1,14,12,47923.22
2018,1,14,13,48983.52
2018,1,14,14,48297.36
2018,1,14,15,46182.848
2018,1,14,16,43471.766
2018,1,14,17,41046.496
2018,1,14,18,38973.473
2018,1,14,19,37217.836
2018,1,14,20,35970.207
2018,1,14,21,35458.723
2018,1,14,22,35963.23
2018,1,14,23,38602.66
2018,1,14,24,40688.035
2018,1,15,1,41624.113
2018,1,15,2,41732.637
2018,1,15,3,41121.457
2018,1,15,4,39785.14
2018,1,15,5,38541.156
2018,1,15,6,38037.516
2018,1,15,7,37864.332
2018,1,15,8,38146.402
2018,1,15,9,38945.387
2018,1,15,10,40604.8
2018,1,15,11,43245.88
2018,1,15,12,45949.688
2018,1,15,13,46483.504
2018,1,15,14,45210.906
2018,1,15,15,43329.316
2018,1,15,16,41554.48
2018,1,15,17,39891.43
2018,1,15,18,38547.44
2018,1,15,19,37826.977
2018,1,15,20,37559.887
2018,1,15,21,37959.176
2018,1,15,22,39429.348
2018,1,15,23,42165.625
2018,1,15,24,43854.105
2018,1,16,1,44373.56
2018,1,16,2,44315.043
2018,1,16,3,43624.297
2018,1,16,4,42450.96
2018,1,16,5,41667.605
2018,1,16,6,41668.074
2018,1,16,7,42326.098
2018,1,16,8,43461.86
2018,1,16,9,45228.5
2018,1,16,10,47929.03
2018,1,16,11,51916.547
2018,1,16,12,56065.375
2018,1,16,13,58241.418
2018,1,16,14,59718.3
2018,1,16,15,60644.777
2018,1,16,16,61115.137
2018,1,16,17,61033.99
2018,1,16,18,60570.145
2018,1,16,19,59426.83
2018,1,16,20,58571.613
2018,1,16,21,58482.98
2018,1,16,22,59476.97
2018,1,16,23,61879.902
2018,1,16,24,63266.8
2018,1,17,1,63176.996
2018,1,17,2,62345.83
2018,1,17,3,60530.84
2018,1,17,4,58373.62
2018,1,17,5,56934.547
2018,1,17,6,56383.484
2018,1,17,7,56352.45
2018,1,17,8,56772.215
